Lyrics,Direct Translation,Poetic Translation
"Bon jour, bon mois, bon an et bonne estraine",LINK,"Good day, good month, good year, good gifts and blessings;"
"Vous doinst celuy qui tout tient en demaine,","http://www1.cpdl.org/wiki/index.php/Bon_jour,_bon_mois,_bon_an_(Guillaume_Dufay)",May God in Heaven give you all the best things:
"Richesse, honnour, sainté, joye sans fin,",See translation at Choral Public Domain Library.,"Great riches, honor, joy without end,"
"Bonne fame, belle dame, bon vin,",,"Good fame, good wine, beautiful girl, good friend,"
Pour maintenir la créature saine.,,"So you continue, joy and health possessing."
,,
Après vous doint qu’en joye on vous demaine,,May he remove from you all things distressing;
Et lyesse tantost on vous ameine;,,"May your companions bring you joy and jesting,"
"Ainsi pourrez avoir, soir et matin,",,And every day and night may He send
,,
"Bon jour, bon mois, bon an et bonne estraine",,"Good day, good month, good year, good gifts and blessings;"
"Vous doinst celuy qui tout tient en demaine,",,May God in Heaven give you all the best things:
"Richesse, honnour, sainté, joye sans fin",,"Great riches, honor, joy without end,"
,,
Et puis vous doint esperance certaine,,"May you be filled with hope that keeps progressing,"
"Sans tristesse, sans pensee villaine;",,"Without a thought that's ugly or depressing,"
Tous voz desirs acomplir de cueur fin.,,So you accomplish all you intend.
Sans contredit soyez en la parfin,,Surely you will occupy in the end
Lassu logee en gloire souveraine.,,"Sovereign Glory, hosted by the Blest King."
,,
"Bon jour, bon mois, bon an et bonne estraine",,"Good day, good month, good year, good gifts and blessings;"
"Vous doinst celuy qui tout tient en demaine,",,May God in Heaven give you all the best things:
"Richesse, honnour, sainté, joye sans fin,",,"Great riches, honor, joy without end,"
"Bonne fame, belle dame, bon vin,",,"Good fame, good wine, beautiful girl, good friend,"
Pour maintenir la créature saine.,,"So you continue, joy and health possessing."
,,
Guillaume Dufay,,Carol Anne Perry Lagemann
